Timestamp,Gender,Age,District,Occupation,Educational background,Marital status,Monthly income,Type of bank you use for your mobile banking application,Source to know about the mobile banking application,Duration of using the mobile banking application,The preferred way to use the mobile banking application,Use of mobile application,Average amount of money  transfer during a month using the mobile banking application,Average total amount of money transfer during a month by going to the bank or ATM,Willing to use the mobile banking application to perform transactions with other banks,Willing to use the mobile banking application to do large transactions,Satisfied with the security measurements in your mobile banking application,Satisfied with the service charges related to the mobile banking application,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Which banks have better mobile banking applications
07/11/2020 01:08:03,Male,25 to 45,Colombo,Student,Degree,Married,Not applicable,Private,From the bank,More than 1 year,Mobile app,"Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Less than 1000,Yes,Yes,Yes,Yes,4,Private banks
07/11/2020 10:20:45,Male,25 to 45,Colombo,Private Sector,Degree,Single,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 10000 to 50000,Yes,Yes,Yes,Yes,5,Private banks
07/11/2020 21:37:12,Male,25 to 45,Gampaha,Private Sector,Degree,Single,More than 100000,Both,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,Between 10000 to 50000,Yes,Yes,Yes,Yes,4,Private banks
07/11/2020 22:55:08,Male,25 to 45,Galle,Private Sector,Degree,Single,More than 100000,Private,From the bank,Between 6 months to 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Less than 1000,Yes,Yes,Yes,No,3,Not applicable
08/11/2020 20:35:59,Male,25 to 45,Colombo,Private Sector,Degree,Single,Not applicable,Both,Advertisement,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",More than 50000,Between 1000 to 5000,Yes,Yes,Yes,No,2,Government banks
08/11/2020 20:42:59,Male,25 to 45,Kandy,Entrepreneur,Degree,Single,Between 20000 to 50000,Private,From the bank,More than 1 year,Mobile app,Check bank balance,Less than 1000,More than 50000,No,No,No,No,1,Not applicable
08/11/2020 20:43:05,Male,25 to 45,Kandy,Entrepreneur,Degree,Single,Between 20000 to 50000,Private,From the bank,More than 1 year,Mobile app,Check bank balance,Less than 1000,More than 50000,No,No,No,No,1,Not applicable
08/11/2020 20:51:38,Male,25 to 45,Kalutara,Private Sector,Degree,Single,Between 50000 to 100000,Public,From the bank,More than 1 year,Mobile app,Check bank balance,Less than 1000,Less than 1000,Yes,No,Yes,No,3,Private banks
08/11/2020 21:15:25,Male,25 to 45,Gampaha,Private Sector,Degree,Single,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",More than 50000,Less than 1000,Yes,Yes,Yes,Yes,5,Private banks
08/11/2020 21:22:28,Male,16 to 25,Matara,Student,A/L,Single,Less than 20000,Both,From a friend,Between 6 months to 1 year,Mobile app,Pay bills,Between 1000 to 5000,Between 1000 to 5000,Yes,No,Yes,Yes,3,Private banks
